policy_id,region_id,policy_type,incentive_amount,start_date,end_date,ev_target_pct,priority_status,policy_description,policy_strength_score
P00071,RG0143,Registration Waiver,10156,2020-10-12,2025-12-22,37,High,"Registration Waiver for EV uptake in Maharashtra: incentive up to INR 10,156, target EV share 37%, active 2020-10-12 to 2025-12-22.",64.1
P00072,RG0151,Charging Infrastructure Grant,1228364,2021-01-19,2024-09-28,74,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,228,364, target EV share 74%, active 2021-01-19 to 2024-09-28.",100.0
P00073,RG0151,Tax Exemption,14704,2022-04-26,2026-12-28,44,High,"Tax Exemption for EV uptake in Maharashtra: incentive up to INR 14,704, target EV share 44%, active 2022-04-26 to 2026-12-28.",70.3
P00074,RG0151,Registration Waiver,9764,2023-07-06,2028-12-16,37,High,"Registration Waiver for EV uptake in Maharashtra: incentive up to INR 9,764, target EV share 37%, active 2023-07-06 to 2028-12-16.",64.1
P00075,RG0145,Charging Infrastructure Grant,1213827,2024-10-13,2027-12-23,74,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,213,827, target EV share 74%, active 2024-10-13 to 2027-12-23.",99.0
P00076,RG0145,Tax Exemption,14956,2025-01-20,2029-09-28,44,High,"Tax Exemption for EV uptake in Maharashtra: incentive up to INR 14,956, target EV share 44%, active 2025-01-20 to 2029-09-28.",70.4
P00077,RG0145,Registration Waiver,9769,2019-04-27,2024-12-28,37,High,"Registration Waiver for EV uptake in Maharashtra: incentive up to INR 9,769, target EV share 37%, active 2019-04-27 to 2024-12-28.",64.1
P00078,RG0141,Charging Infrastructure Grant,1217453,2020-07-07,2023-12-17,74,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,217,453, target EV share 74%, active 2020-07-07 to 2023-12-17.",99.8
P00079,RG0141,Tax Exemption,14611,2021-10-14,2025-12-24,44,High,"Tax Exemption for EV uptake in Maharashtra: incentive up to INR 14,611, target EV share 44%, active 2021-10-14 to 2025-12-24.",68.9
P00080,RG0141,Registration Waiver,10439,2022-01-21,2027-09-28,37,High,"Registration Waiver for EV uptake in Maharashtra: incentive up to INR 10,439, target EV share 37%, active 2022-01-21 to 2027-09-28.",64.1
P00081,RG0142,Charging Infrastructure Grant,1216428,2023-04-01,2026-12-11,74,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,216,428, target EV share 74%, active 2023-04-01 to 2026-12-11.",100.0
P00082,RG0142,Tax Exemption,15365,2024-07-08,2028-12-18,44,High,"Tax Exemption for EV uptake in Maharashtra: incentive up to INR 15,365, target EV share 44%, active 2024-07-08 to 2028-12-18.",69.6
P00083,RG0142,Registration Waiver,10684,2025-10-15,2030-12-25,37,High,"Registration Waiver for EV uptake in Maharashtra: incentive up to INR 10,684, target EV share 37%, active 2025-10-15 to 2030-12-25.",64.1
P00084,RG0111,Charging Infrastructure Grant,1182803,2019-01-22,2022-09-28,72,High,"Charging Infrastructure Grant for EV uptake in Karnataka: incentive up to INR 1,182,803, target EV share 72%, active 2019-01-22 to 2022-09-28.",99.9
P00085,RG0111,Tax Exemption,14489,2020-04-02,2024-12-12,43,High,"Tax Exemption for EV uptake in Karnataka: incentive up to INR 14,489, target EV share 43%, active 2020-04-02 to 2024-12-12.",69.7
P00086,RG0111,Registration Waiver,10292,2021-07-09,2026-12-19,36,High,"Registration Waiver for EV uptake in Karnataka: incentive up to INR 10,292, target EV share 36%, active 2021-07-09 to 2026-12-19.",63.4
P00087,RG0110,Charging Infrastructure Grant,1162056,2022-10-16,2025-12-26,72,High,"Charging Infrastructure Grant for EV uptake in Karnataka: incentive up to INR 1,162,056, target EV share 72%, active 2022-10-16 to 2025-12-26.",98.0
P00088,RG0110,Tax Exemption,15101,2023-01-23,2027-09-28,43,High,"Tax Exemption for EV uptake in Karnataka: incentive up to INR 15,101, target EV share 43%, active 2023-01-23 to 2027-09-28.",69.6
P00089,RG0110,Registration Waiver,10390,2024-04-03,2029-12-13,36,High,"Registration Waiver for EV uptake in Karnataka: incentive up to INR 10,390, target EV share 36%, active 2024-04-03 to 2029-12-13.",63.4
P00090,RG0112,Charging Infrastructure Grant,1198848,2025-07-10,2028-12-20,72,High,"Charging Infrastructure Grant for EV uptake in Karnataka: incentive up to INR 1,198,848, target EV share 72%, active 2025-07-10 to 2028-12-20.",99.5
P00091,RG0112,Tax Exemption,14971,2019-10-17,2023-12-27,43,High,"Tax Exemption for EV uptake in Karnataka: incentive up to INR 14,971, target EV share 43%, active 2019-10-17 to 2023-12-27.",68.2
P00092,RG0112,Registration Waiver,9572,2020-01-24,2025-09-28,36,High,"Registration Waiver for EV uptake in Karnataka: incentive up to INR 9,572, target EV share 36%, active 2020-01-24 to 2025-09-28.",63.4
P00093,RG0199,Charging Infrastructure Grant,1173967,2021-04-04,2024-12-14,71,High,"Charging Infrastructure Grant for EV uptake in Tamil Nadu: incentive up to INR 1,173,967, target EV share 71%, active 2021-04-04 to 2024-12-14.",99.7
P00094,RG0199,Tax Exemption,14184,2022-07-11,2026-12-21,43,High,"Tax Exemption for EV uptake in Tamil Nadu: incentive up to INR 14,184, target EV share 43%, active 2022-07-11 to 2026-12-21.",68.9
P00095,RG0199,Registration Waiver,10186,2023-10-18,2028-12-28,36,High,"Registration Waiver for EV uptake in Tamil Nadu: incentive up to INR 10,186, target EV share 36%, active 2023-10-18 to 2028-12-28.",63.4
P00096,RG0201,Charging Infrastructure Grant,1154119,2024-01-25,2027-09-28,71,High,"Charging Infrastructure Grant for EV uptake in Tamil Nadu: incentive up to INR 1,154,119, target EV share 71%, active 2024-01-25 to 2027-09-28.",99.3
P00097,RG0201,Tax Exemption,14853,2025-04-05,2029-12-15,43,High,"Tax Exemption for EV uptake in Tamil Nadu: incentive up to INR 14,853, target EV share 43%, active 2025-04-05 to 2029-12-15.",69.7
P00098,RG0201,Registration Waiver,9919,2019-07-12,2024-12-22,36,High,"Registration Waiver for EV uptake in Tamil Nadu: incentive up to INR 9,919, target EV share 36%, active 2019-07-12 to 2024-12-22.",63.4
P00099,RG0203,Charging Infrastructure Grant,1149448,2020-10-19,2023-12-28,71,High,"Charging Infrastructure Grant for EV uptake in Tamil Nadu: incentive up to INR 1,149,448, target EV share 71%, active 2020-10-19 to 2023-12-28.",97.7
P00100,RG0203,Tax Exemption,13488,2021-01-26,2025-09-28,43,High,"Tax Exemption for EV uptake in Tamil Nadu: incentive up to INR 13,488, target EV share 43%, active 2021-01-26 to 2025-09-28.",69.6
P00101,RG0203,Registration Waiver,10133,2022-04-06,2027-12-16,36,High,"Registration Waiver for EV uptake in Tamil Nadu: incentive up to INR 10,133, target EV share 36%, active 2022-04-06 to 2027-12-16.",63.4
P00102,RG0204,Charging Infrastructure Grant,1143983,2023-07-13,2026-12-23,71,High,"Charging Infrastructure Grant for EV uptake in Tamil Nadu: incentive up to INR 1,143,983, target EV share 71%, active 2023-07-13 to 2026-12-23.",98.4
P00103,RG0204,Tax Exemption,13519,2024-10-20,2028-12-28,43,High,"Tax Exemption for EV uptake in Tamil Nadu: incentive up to INR 13,519, target EV share 43%, active 2024-10-20 to 2028-12-28.",68.1
P00104,RG0204,Registration Waiver,9614,2025-01-27,2030-09-28,36,High,"Registration Waiver for EV uptake in Tamil Nadu: incentive up to INR 9,614, target EV share 36%, active 2025-01-27 to 2030-09-28.",63.4
P00105,RG0200,Charging Infrastructure Grant,1173526,2019-04-07,2022-12-17,71,High,"Charging Infrastructure Grant for EV uptake in Tamil Nadu: incentive up to INR 1,173,526, target EV share 71%, active 2019-04-07 to 2022-12-17.",99.7
P00106,RG0200,Tax Exemption,13650,2020-07-14,2024-12-24,43,High,"Tax Exemption for EV uptake in Tamil Nadu: incentive up to INR 13,650, target EV share 43%, active 2020-07-14 to 2024-12-24.",68.9
P00107,RG0200,Registration Waiver,9407,2021-10-21,2026-12-28,36,High,"Registration Waiver for EV uptake in Tamil Nadu: incentive up to INR 9,407, target EV share 36%, active 2021-10-21 to 2026-12-28.",63.4
P00108,RG0150,Charging Infrastructure Grant,1150989,2022-01-01,2025-09-11,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,150,989, target EV share 70%, active 2022-01-01 to 2025-09-11.",99.3
P00109,RG0150,Purchase Subsidy,31514,2023-04-08,2027-12-18,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 31,514, target EV share 60%, active 2023-04-08 to 2027-12-18.",77.9
P00110,RG0147,Charging Infrastructure Grant,1159854,2024-07-15,2029-12-25,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,159,854, target EV share 70%, active 2024-07-15 to 2029-12-25.",100.0
P00111,RG0147,Purchase Subsidy,30943,2025-10-22,2028-12-28,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 30,943, target EV share 60%, active 2025-10-22 to 2028-12-28.",73.3
P00112,RG0152,Charging Infrastructure Grant,1146391,2019-01-02,2023-09-12,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,146,391, target EV share 70%, active 2019-01-02 to 2023-09-12.",100.0
P00113,RG0152,Purchase Subsidy,30472,2020-04-09,2025-12-19,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 30,472, target EV share 60%, active 2020-04-09 to 2025-12-19.",78.6
P00114,RG0153,Charging Infrastructure Grant,1154376,2021-07-16,2024-12-26,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,154,376, target EV share 70%, active 2021-07-16 to 2024-12-26.",98.6
P00115,RG0153,Purchase Subsidy,30463,2022-10-23,2026-12-28,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 30,463, target EV share 60%, active 2022-10-23 to 2026-12-28.",76.3
P00116,RG0148,Charging Infrastructure Grant,1121428,2023-01-03,2028-09-13,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,121,428, target EV share 70%, active 2023-01-03 to 2028-09-13.",100.0
P00117,RG0148,Purchase Subsidy,29459,2024-04-10,2027-12-20,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 29,459, target EV share 60%, active 2024-04-10 to 2027-12-20.",74.8
P00118,RG0081,Charging Infrastructure Grant,1140271,2025-07-17,2029-12-27,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,140,271, target EV share 70%, active 2025-07-17 to 2029-12-27.",100.0
P00119,RG0081,Purchase Subsidy,29981,2019-10-24,2024-12-28,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 29,981, target EV share 60%, active 2019-10-24 to 2024-12-28.",78.6
P00120,RG0081,Tax Exemption,12962,2020-01-04,2023-09-14,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 12,962, target EV share 42%, active 2020-01-04 to 2023-09-14.",65.9
P00121,RG0075,Charging Infrastructure Grant,1129750,2021-04-11,2025-12-21,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,129,750, target EV share 70%, active 2021-04-11 to 2025-12-21.",100.0
P00122,RG0075,Purchase Subsidy,29497,2022-07-18,2027-12-28,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 29,497, target EV share 60%, active 2022-07-18 to 2027-12-28.",78.6
P00123,RG0075,Tax Exemption,13588,2023-10-25,2026-12-28,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 13,588, target EV share 42%, active 2023-10-25 to 2026-12-28.",64.3
P00124,RG0149,Charging Infrastructure Grant,1143591,2024-01-05,2028-09-15,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,143,591, target EV share 70%, active 2024-01-05 to 2028-09-15.",100.0
P00125,RG0149,Purchase Subsidy,29270,2025-04-12,2030-12-22,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 29,270, target EV share 60%, active 2025-04-12 to 2030-12-22.",78.6
P00126,RG0146,Charging Infrastructure Grant,1141304,2019-07-19,2022-12-28,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,141,304, target EV share 70%, active 2019-07-19 to 2022-12-28.",98.3
P00127,RG0146,Purchase Subsidy,29749,2020-10-26,2024-12-28,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 29,749, target EV share 60%, active 2020-10-26 to 2024-12-28.",76.3
P00128,RG0154,Charging Infrastructure Grant,1165652,2021-01-06,2026-09-16,70,High,"Charging Infrastructure Grant for EV uptake in Maharashtra: incentive up to INR 1,165,652, target EV share 70%, active 2021-01-06 to 2026-09-16.",100.0
P00129,RG0154,Purchase Subsidy,31372,2022-04-13,2025-12-23,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 31,372, target EV share 60%, active 2022-04-13 to 2025-12-23.",74.9
P00130,RG0077,Charging Infrastructure Grant,1146928,2023-07-20,2027-12-28,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,146,928, target EV share 70%, active 2023-07-20 to 2027-12-28.",100.0
P00131,RG0077,Purchase Subsidy,27939,2024-10-27,2029-12-28,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 27,939, target EV share 60%, active 2024-10-27 to 2029-12-28.",78.6
P00132,RG0077,Tax Exemption,14873,2025-01-07,2028-09-17,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 14,873, target EV share 42%, active 2025-01-07 to 2028-09-17.",65.9
P00133,RG0076,Charging Infrastructure Grant,1135470,2019-04-14,2023-12-24,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,135,470, target EV share 70%, active 2019-04-14 to 2023-12-24.",100.0
P00134,RG0076,Purchase Subsidy,30361,2020-07-21,2025-12-28,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 30,361, target EV share 60%, active 2020-07-21 to 2025-12-28.",78.6
P00135,RG0076,Tax Exemption,13819,2021-10-01,2024-12-11,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 13,819, target EV share 42%, active 2021-10-01 to 2024-12-11.",64.4
P00136,RG0078,Charging Infrastructure Grant,1117842,2022-01-08,2026-09-18,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,117,842, target EV share 70%, active 2022-01-08 to 2026-09-18.",100.0
P00137,RG0078,Purchase Subsidy,29420,2023-04-15,2028-12-25,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 29,420, target EV share 60%, active 2023-04-15 to 2028-12-25.",78.6
P00138,RG0078,Tax Exemption,13911,2024-07-22,2027-12-28,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 13,911, target EV share 42%, active 2024-07-22 to 2027-12-28.",65.1
P00139,RG0212,Charging Infrastructure Grant,1125185,2025-10-02,2029-12-12,69,High,"Charging Infrastructure Grant for EV uptake in Telangana: incentive up to INR 1,125,185, target EV share 69%, active 2025-10-02 to 2029-12-12.",100.0
P00140,RG0212,Purchase Subsidy,31117,2019-01-09,2024-09-19,59,High,"Purchase Subsidy for EV uptake in Telangana: incentive up to INR 31,117, target EV share 59%, active 2019-01-09 to 2024-09-19.",78.6
P00141,RG0212,Tax Exemption,12963,2020-04-16,2023-12-26,41,High,"Tax Exemption for EV uptake in Telangana: incentive up to INR 12,963, target EV share 41%, active 2020-04-16 to 2023-12-26.",65.2
